,sentence,sentiment,polarity
0," Shares of cannabis companies Tilray (NASDAQ: TLRY) , Cronos Group (NASDAQ: CRON) , and New Age Beverages (NASDAQ: NBEV)  dropped 19.4%, 14.8%, and 10.4%, respectively, in March, according to data from S&P Global Market Intelligence . For context, the S&P 500 rose 1.9% last month. Those stocks have continued to struggle this month: through April 4,  Tilray has fallen another 6.8%, Cronos edged down by almost 1%, and New Age lost 5.7%. The S&P 500 gained 2.3% over the period. Tilray and Cronos are major Canadian marijuana growers, while New Age Beverages is a Denver- and Utah-based maker of coffees and teas, energy drinks, and other functional beverages. Last October, it entered the cannabidiol-infused beverage market. (CBD is a nonpsychoactive chemical found in the cannabis plant that is purported to have various medicinal benefits.)  Image source: Getty Images. We can attribute the trio's subpar March performances in part due to weakness in the sector. In general, cannabis stocks had a strong start to 2019 (Tilray is one notable exception), so pullbacks in the group weren't unexpected. Moreover, last month, many of the players released quarterly results that didn't excite investors, which contributed to the negative sentiment surrounding the sector.  Data by YCharts. On March 8, Jefferies initiated coverage of Tilray stock with an underperform rating. While investors shouldn't pay too much attention to the Street's stock ratings, changes in them can move prices. Tilray stock didn't head lower immediately in reaction to the Jefferies analyst's opinion, but the firm's action could have been one factor negatively affecting the share price later in the month. On March 18, the Canadian cannabis grower released its fourth-quarter and full-year 2018 results. Shares fell 3.4% the next day, as investors apparently were somewhat underwhelmed. In Q4, as my colleague Keith Speights detailed , revenue soared 204% to $15.5 million, driven by the opening of the Canadian recreational market in October. While this metric easily beat the $14.2 million Wall Street consensus estimate, on the bottom line, the company fell short of expectations. Tilray reported a quarterly net loss of $31 million, or $0.33 per share. That compared poorly to its net loss of $3 million, or $0.04 per share, in Q4 2017, and was much worse than the $0.12 per share loss that analysts had been expecting. On March 26, Cronos released its Q4 and full-year 2018 results -- and the market was not pleased, pushing shares down by 9.9% at the close. For the quarter , net revenue landed at 5.6 million Canadian dollars, a 248% year-over-year increase, but well short of the CA$7 million that analysts had been looking for. The company also posted a quarterly loss of CA$11.8 million, compared to a profit of CA$667,000 a year earlier. Moreover, Cronos stock racked up two Wall Street downgrades last month. On March 11, BMO Capital lowered its rating on the stock to underperform from perform. Then on the 27th, Canaccord Genuity downgraded it to a sell from a hold. There were no notable announcements about New Age Beverages last month that could be deemed catalysts for its share price decline. In fact, the only significant news from the company was the March 29 release of its Q4 and full-year 2018 reports -- and the market apparently was at least satisfied with the numbers, as shares rose 2% on the news. In the quarter, the company's net revenue increased 24% to $14 million, while its adjusted EBITDA (earnings before interest, taxes, depreciation, and amortization) loss doubled to $4.5 million, driven in part by costs associated with its $85 million acquisition of Morinda Holdings, which closed in December. This deal made New Age a much bigger company, and transformed it into an international player, as Morinda has operations in 60 countries. It seems likely that New Age stock's pullback last month was a continuation of the profit-taking that began in February , during which the stock declined more than 17%, following its 36.7% run-up in January  and 140% gain last year. Some investors could be jittery about increased competition in the CBD market, due to the passage of the U.S. Farm Bill, which became effective on Jan. 1. One section of that legislation made it legal to grow and process industrial hemp in all 50 U.S. states. CBD can be extracted from both hemp and marijuana. Despite March's pullbacks, Cronos stock is still having a great 2019, though shares of Tilray and New Age Beverages are down by low-double-digit and mid-single-digit percentages, respectively. We can largely attribute Cronos' robust performance to investor enthusiasm about the company's partnership with tobacco giant Altria (NYSE: MO) . In early December, the two companies announced that Altria would buy a 45% stake in Cronos for approximately $1.8 billion (about 2.4 billion Canadian dollars). That purchase closed early last month.  Data by YCharts . By default, this chart includes after-hours trading on April 4. In recent years, investors didn't need to be too careful about choosing a cannabis stock, as the growing legal cannabis market and investor enthusiasm about its future propelled many of the group's stocks higher. This rising-tide-lifts-nearly-all-boats dynamic is likely to change soon -- and perhaps this year -- as the players become more differentiated. So smart stock-picking should become more important. Remember, the cannabis stock space is volatile and risky. Don't invest more money in these stocks than you can afford to lose.  10 stocks we like better than Cronos Group Inc.
When investing geniuses David and Tom Gardner have a stock tip, it can pay to listen. After all, the newsletter they have run for over a decade, Motley Fool Stock Advisor , has quadrupled the market.* David and Tom just revealed what they believe are the ten best stocks for investors to buy right now... and Cronos Group Inc. wasn't one of them! That's right -- they think these 10 stocks are even better buys. See the 10 stocks *Stock Advisor returns as of March 1, 2019 Beth McKenna has no position in any of the stocks mentioned. The Motley Fool has no position in any of the stocks mentioned. The Motley Fool has a disclosure policy .",-29.109999999999673,0
1," April 5 (Reuters) - Activist investor Starboard Value LP said on Friday it was withdrawing its nominations for directors at Dollar Tree Inc's board, saying that it was pleased with the company's decision to test multiple price points at its stores. Starboard in January pushed for changes at the discount chain, seeking to capitalize on criticism from some investors and analysts that Dollar Tree should consider raising prices for some products to more than $1. The hedge fund, along with its director nominations, had urged Dollar Tree to explore all alternatives for its Family Dollar business, including a sale. ""We continue to enjoy constructive conversations with management and recognize their progress, as well as the significant increase in shareholder value based on the promises made since our involvement,"" Starboard said. ",-29.109999999999673,0
2," April 5 (Reuters) - Representatives of Venezuelan opposition leader Juan Guaido have asked a U.S. court to overturn a prior ruling allowing Canadian miner Crystallex to seize part of U.S. refiner Citgo, which is owned by state oil company Petroleos de Venezuela. Guaido heads the opposition-controlled National Assembly and in January invoked the country's constitution to assume an interim presidency, arguing President Nicolas Maduro's 2018 re-election was a fraud. The United States and most Western countries have recognized him as the country's rightful leader. Last year, a judge ruled Crystallex could seize shares in Citgo and auction them in its bid to get paid on a $1.4 billion award tied to the 2008 nationalization of its gold mining operations by the now cash-strapped South American country. ""Such an auction would not just be unseemly; it would be dangerous, undermining U.S. foreign policy by impeding President Guaido's ability to complete the transition of the Republic to democracy,"" the attorneys with Washington law firm Arnold & Porter wrote in a brief dated April 3. Guaido named a board of directors to Citgo in February, a move he described as ""protecting our assets."" Last month, the U.S. Court of Appeals for the Third Circuit ruled Guaido's representatives could request a stay, and gave them until this week to present their arguments. Maduro, a socialist who says he is the victim of an attempted U.S.-led coup, has accused the opposition of trying to ""steal"" Citgo. In its March 20 ruling allowing Guaido's representatives to intervene in the case, the judge said Crystallex would have until April 10 to respond to its arguments. ",-29.109999999999673,0
3," Delta Air Lines DAL has seen its stock price soar 16% over the last month, driven by updated first-quarter earnings and revenue guidance that helped show Wall Street that some of its recent business traveler-focused investments have started to pay off. With that said, let's take a look at exactly what to expect from Delta's Q1 earnings results Wednesday. Overview Delta saw its stock price surge on Tuesday after the company upped its quarterly earnings and revenue guidance. The company also announced that it renewed its partnership with American Express AXP for its Delta credit cards, which is set to run through 2029. And, in a sign that executives might think DAL stock is undervalued, the country's third-largest carrier by traffic completed $1.3 billion in share repurchases during the quarter. Amid increased competition among U.S. airlines, Delta has spent heavily to attract business customers. The moves include new lie-flat seats and higher-end facilities at airports. The Atlanta-based firm clearly looks strong heading into Q1 earnings season. Meanwhile, Southwest Airlines LUV recently cut its quarterly unit-revenue forecast, citing unplanned maintenance and weather-based flight cancellations. Southwest also pointed to the grounding of its Boeing BA 737 MAX fleet as a reason for its subdued guidance ( What to Expect from Boeing's Q1 Earnings Amid 737 MAX Headwinds ).    Outlook & Earnings Trends Moving on, Delta's first quarter 2019 revenue is projected to pop 4.2% to reach $10.39 billion, based on our current Zacks Consensus Estimate. This would mark a bit of a slowdown from Q4's roughly 5% top-line growth, which did fall just short of our quarterly estimate for the second time during the last four quarters. At the bottom of the income statement, DAL's adjusted Q1 earnings are expected to surge 17.6% to reach $0.87 per share. Peeking further ahead, the company's full-year EPS figure is projected to climb 16.5%. We should also note that the company topped our earnings estimate last quarter, as it has for the trailing four periods. Plus, the chart below shows how much more positive Delta's earnings estimate revisions have turned over the last seven days, propelled by its updated quarterly guidance.    Bottom Line Delta is currently a Zacks Rank #2 (Buy) based for the most part on its earnings estimate revision activity. The firm also sports ""A"" grades for Value and Momentum in our Style Scores system. Shares of DAL closed regular trading Friday up 0.89% to $57.73 per share. Delta is scheduled to report its first quarter 2019 financial results before the opening bell on Wednesday, April 10. So, make sure to head back to Zacks for a full breakdown of the company's actual quarterly metrics. Investors interested in the airline industry should also be on the lookout for reports from United Airlines UAL , Southwest, JetBlue JBLU , and others due out in the coming weeks. Zacks' Top 10 Stocks for 2019

In addition to the stocks discussed above, would you like to know about our 10 finest buy-and-holds for the year?

Who wouldn't? Our annual Top 10s have beaten the market with amazing regularity. In 2018, while the market dropped -5.2%, the portfolio scored well into double-digits overall with individual stocks rising as high as +61.5%. And from 2012-2017, while the market boomed +126.3, Zacks' Top 10s reached an even more sensational +181.9%.

See Latest Stocks Today >>",-29.109999999999673,0
4," By Phil Stewart, Lesley Wroughton and Steve Holland WASHINGTON, April 5 (Reuters) - The United States is expected to designate Iran's elite Revolutionary Guards Corps a foreign terrorist organization, three U.S. officials told Reuters, marking the first time Washington has formally labeled another country's military a terrorist group. The decision, which critics warn could open U.S. military and intelligence officials to similar actions by unfriendly governments abroad, is expected to be announced by the U.S. State Department, perhaps as early as Monday, the officials said. It has been rumored for years. The Iranian mission to the United Nations did not immediately respond to a request for comment. U.S. Secretary of State Mike Pompeo, a strident Iran hawk, has advocated for the change in U.S. policy as part of the Trump administration's tough posture toward Tehran. The announcement would come ahead of the first anniversary of President Donald Trump's decision to pull out of a 2015 nuclear deal with Tehran and to reimpose sanctions that had crippled Iran's economy. The administration's decision to make the designation was first reported by the Wall Street Journal. The United States has already blacklisted dozens of entities and people for affiliations with the IRGC, but the organization as a whole is not. In 2007, the U.S. Treasury designated the IRGC's Quds Force, its unit in charge of operations abroad, ""for its support of terrorism,"" and has described it as Iran's ""primary arm for executing its policy of supporting terrorist and insurgent groups."" Iran has warned of a ""crushing"" response should the United States go ahead with the designation. IRGC commander Mohammad Ali Jafari warned in 2017 that if Trump went ahead with the move ""then the Revolutionary Guards will consider the American army to be like Islamic State all around the world."" Such threats are particularly ominous for U.S. forces in places such as Iraq, where Iran-aligned Shi'ite militia are located in close proximity to U.S. troops. Republican Senator Ben Sasse said the move would be an important step in America's maximum pressure campaign against Tehran. ""A formal designation and its consequences may be new, but these IRGC butchers have been terrorists for a long time,"" Sasse said in a statement. Former Under-Secretary of State and lead Iran negotiator, Wendy Sherman, said she worried about implications for U.S. forces. ""One might even suggest, since it's hard to see why this is in our interest, if the president isn't looking for a basis for a conflict,"" said Sherman, who is director of the Center for Public Leadership at the Harvard Kennedy School. ""The IRGC is already fully sanctioned and this escalation absolutely endangers our troops in the region.""  IRGC'S REACH Set up after the 1979 Islamic Revolution to protect the Shi'ite clerical ruling system, the IRGC is Iran's most powerful security organization. It has control over large sectors of the Iranian economy and has a huge influence in its political system. The IRGC is in charge of Iran's ballistic missiles and nuclear programs. Tehran has warned that it has missiles with a range of up to 2,000 km (1,242 miles), putting Israel and U.S. military bases in the region within reach. The IRGC has an estimated 125,000-strong military with army, navy and air units and answers to Supreme Leader Ayatollah Ali Khamenei. It is unclear what impact the U.S. designation of the IRGC as a terrorist organization might have on America's activities in countries that have ties with Tehran, including in Iraq. Baghdad has deep cultural and economic ties with Iran and Oman, where the United States recently clinched a strategic ports deal. ",-29.109999999999673,0
5," Shares of Carnival Corporation (NYSE: CCL)  slipped last month after the cruise-line operator turned in a disappointing first-quarter earnings report and slashed its full-year guidance. According to data from S&P Global Market Intelligence , the stock finished March down 12%. As you can see from the chart below, the bulk of the stock's losses came when its earnings report came out at the end of the month.  CCL data by YCharts. Carnival, which owns a number of other cruise lines including Princess and Holland America, saw strong demand in the first quarter, but costs also rose, which turned off investors.  Image source: Carnival. Overall revenue rose 10.4%, to $4.67 billion, driven by a sharp increase in onboard spending, and topped estimates at $4.31 billion. However, costs rose faster than revenue, and operating income fell from $419 million to $386 million. Adjusted earnings per share slipped from $0.52 to $0.49, but that still beat muted expectations of $0.44. Gross revenue yields, measured by revenue per available lower-berth day, increased by 0.5% in constant currency, better than guidance for flat growth. However, costs increased 0.9% excluding fuel. CEO Arnold Donald said, ""First-quarter earnings included revenue growth from higher capacity and improved onboard spending, offset by the timing of cost increases and a drag from fuel price and currency compared to the prior year."" Due, in part, to rising fuel prices and a stronger dollar, Carnival slashed its full-year earnings guidance. On the top line, it continued to call for a 1% increase in yields but dialed down profit expectations from $4.50-$4.80 to $4.35-$4.55, which still represents growth from $4.26 a year ago. While currencies always fluctuate, Carnival investors may have to get used to rising fuel prices as oil prices have been low for some time. Though growth looks muted for the foreseeable future, investors can take advantage of the 3.8% dividend yield for now.  10 stocks we like better than Carnival
When investing geniuses David and Tom Gardner have a stock tip, it can pay to listen. After all, the newsletter they have run for over a decade, Motley Fool Stock Advisor , has quadrupled the market.* David and Tom just revealed what they believe are the ten best stocks for investors to buy right now... and Carnival wasn't one of them! That's right -- they think these 10 stocks are even better buys. See the 10 stocks *Stock Advisor returns as of March 1, 2019 Jeremy Bowman has no position in any of the stocks mentioned. The Motley Fool recommends Carnival. The Motley Fool has a disclosure policy .",-29.109999999999673,0
6," By Collin Eaton HOUSTON, April 5 (Reuters) - U.S. Vice President Mike Pence on Friday stepped up efforts to force Venezuelan President Nicolas Maduro from office by imposing new sanctions on its oil shipments, and promising ""stronger action"" against Cuba for helping to keep the regime afloat. Greater efforts to prevent oil revenues from reaching Maduro, including sanctions on Venezuela's finance and oil sectors, were coming, Pence said in Houston before a hand-picked audience of 300 people, many from the local Venezuelan community who support Maduro's ouster. The United States and leaders of most nations in the Western Hemisphere consider Maduro's 2018 reelection illegitimate and have recognized opposition leader Juan Guaido as the company's interim president. Maduro dismisses Guaido as a U.S. puppet. After Pence's speech, the U.S. Treasury announced sanctions on 34 vessels owned or operated by Venezuelan state-run oil company PDVSA that carry oil to customers outside the region. It also sanctioned two shipping operators and a vessel that delivered oil to Cuba in February and March. Pence bashed the island nation's leaders as the ""real imperialists"" in the Western Hemisphere, adding: ""The time has come to liberate Venezuela from Cuba."" An estimated 50,000 Venezuelans, the second-largest expatriate community outside of south Florida, live in Houston. Many of them support U.S. efforts to rid Venezuela of Maduro, having fled the socialist politics of former leader Hugo Chavez for a home in Houston's energy industry. However, some Venezuelan expatriates in Houston believe tougher actions than Pence's proposals on Friday were needed to replace the government. ""It's going to take more than economic sanctions,"" said Andres Carvallo, a former Venezuelan lawyer and journalist who attended the speech. In addition to sanctions, the United States should organize a military coalition of countries to remove the current government, he said. Francisco Monaldi, a Venezuelan native and Latin American energy expert at Rice, said many expatriates had hoped that Pence would deliver a plan to get the Venezuelan military to stop supporting Maduro. ""It doesn't seem the military is willing to remove support from Maduro,"" which has proven more difficult than opposition leaders had expected. ""We want to see more than barking. We want to see action,"" said Miguel Eljuri, a Venezuelan living in Houston who also once worked for PDVSA. Maria Gonzalez, an economist who listened to the speech, welcomed tougher action, adding her mother in Venezuela lacks water, power and basic supplies. As for the Trump administration's reversal of the U.S. opening to Cuba, she said: ""they do not deserve our help."" ",-29.109999999999673,0
7," The tax reform laws enacted in late 2017 have finally been put to the test, and most taxpayers have either already seen or have a good idea of what impact they'll have on their individual tax returns. Yet among all the changes that tax reform brought about, lawmakers continue to wrangle with one part of the legislation: the $10,000 limitation on itemized deductions for state and local taxes. But even though lawmakers in high-tax states continue to fight for further changes to the new limitation, there's an aspect of the debate that has largely gone unnoticed. Even though the new limit has indeed caused millions of taxpayers to claim less in itemized deductions than they did under previous law, other tax law changes affecting the alternative minimum tax will be a substantial offset -- and recent research suggests that in many cases, even those subject to the SALT deduction limitation are reaping net savings from the tax law changes.  Image source: Getty Images. Financial analysts at Bloomberg recently released their analysis of tax returns in past years to see what net impact the SALT deduction limits would have on taxpayers. The research found that about three-quarters of those who paid more than $10,000 in state and local taxes annually -- and therefore would likely be subject to the new limits for 2018 -- also had to pay alternative minimum tax. That might not seem like a related issue, but it's important because of the way that alternative minimum tax gets calculated. Unlike the regular tax laws, the rules for the AMT have never allowed taxpayers to deduct any of their state and local tax liability. At the time that the AMT came into existence in the early 1980s, deductions like the SALT provisions played a vital role for many wealthy taxpayers in minimizing overall tax, and lawmakers wanted to take efforts to ensure that no matter how many tax breaks people qualified to take, they would still have to pay at least some minimum amount of tax on their income. At one point during the fight for tax reform, Congress looked seriously at fully repealing the AMT . Cost concerns about the overall tax law package made that impractical, but what instead got passed was a more complicated set of new rules that largely achieved the same end goal. First, the new laws dramatically boosted the exemption amounts under the AMT, making fewer people have to worry about the tax at all. More important for wealthier taxpayers was the change to the income limits at which that exemption amount started to phase out. Under previous law, exemptions started to disappear at income levels as low as around $120,000 for single filers and $160,000 for joint filers. Now, no phaseout occurs until income reaches $500,000 or $1 million for single and joint filers, respectively. Estimates suggest that as a result of these changes, only about 200,000 taxpayers are likely to pay AMT for the 2018 tax year. That's down from more than 5 million who were typically subject to the tax under previous law. Bloomberg's way of casting the problem is reasonable, but it is subject to one criticism: Just because someone was subject to the AMT doesn't mean that they got no benefit from state and local tax deductions. It's true that for AMT purposes, no deduction for state and local tax payments was allowed. But the way the AMT works involves comparing liability under its alternate tax scheme with tax liability under the regular tax rules. Taxpayers end up paying whichever tax is greater. So, if you take away a deduction in the regular tax rules, it can push your regular tax liability above what you owe under the AMT rules, boosting your total tax bill. In effect, you do get a deduction for state and local taxes -- even if you were subject to the AMT. It's unclear from the analysis how many of those former AMT-paying taxpayers are in that category. But what is clear is that every individual situation is different, and what affects one taxpayer favorably might hit another one's taxes unfavorably. Those in high-tax states will continue to fight against the SALT deduction limits, because under the new AMT rules, they have even more to gain from any upward allowance in their itemized deductions. But behind the scenes, you should keep in mind that many of those making these arguments have already seen big benefits from tax reform's other provisions.  The $16,728 Social Security bonus most retirees completely overlook
If you're like most Americans, you're a few years (or more) behind on your retirement savings. But a handful of little-known ""Social Security secrets"" could help ensure a boost in your retirement income. For example: one easy trick could pay you as much as $16,728 more... each year! Once you learn how to maximize your Social Security benefits, we think you could retire confidently with the peace of mind we're all after. Simply click here to discover how to learn more about these strategies . The Motley Fool has a disclosure policy .",-29.109999999999673,0
8,"Overall, what struck me this week were the effects of inflation and population. Except for a few data points, the releases from the government agencies showing monetary values are not inflation-adjusted or population-adjusted to determine real growth:  Generally, this means that for REAL growth, the monetary data point must exceed 2.5% year-over-year for there to be real economic growth. And this week both retail sales and construction spending are contracting if one adjusts the data for inflation and population. Economic Releases This Past Week The Econintersect Economic Index for April 2019 insignificantly improved but remains below territory associated with normal expansions. Even with this improvement, the question remains whether this long term downward trend will continue. Note, our index is built on data sets which were not affected by the government shutdown - and it is most likely that other economic forecasts you have seen fudged the missing data.  The following table summarizes the more significant economic releases this past week. For more detailed analysis - please visit our landing page which provides links to our complete analyses. This week the data was mixed but little showing an improving economy - and, there is little to indicate that a recession is waiting in the wings, at least not immediately.",-29.109999999999673,0
9," When Americans think of car sales, automakers like General Motors (NYSE: GM) and Ford usually come to mind, as do scenes of parking lots filled with shiny vehicles at local dealerships. However, most consumers would be surprised to learn that Costco Wholesale (NASDAQ: COST) is one of the biggest car dealers in the country. Last year the Costco Auto Program sold more than 650,000 vehicles, accounting for nearly 4% of the estimated 17.7 million vehicles sold in the U.S. last year. Even more impressive is that Costco's vehicle sales rose more than 25% from the year before, compared to just a 0.6% increase for the overall industry. In a three-month holiday sales event with GM at the end of the year, auto sales rose 22%.  Image source: Costco. Costco doesn't actually sell vehicles directly. Instead, it acts as a negotiator for its members, offering low, fixed prices on a wide range of vehicles from local dealerships. Costco members simply enter their zip code and see a list of available vehicles selling for below the standard MSRP (Manufacturer's Suggested Retail Price). The fixed prices, which save Costco members on average more than $1,000, seem to be the biggest selling point of the program, as they allow shoppers to avoid the usual hassle of haggling over prices and dealing upselling. It also gives them the peace of mind of knowing they got a good deal, as Costco has significantly more leverage than the average customer. Costco's auto program is just one of many perks to being a member of the warehouse club. Though shopping at its bargain-priced warehouses is the most obvious one, Costco members also get benefits like discounts on vacation packages, cruises, and hotels, and savings on items outside the usual retail fare like gasoline, optical, and auto parts like tires. In many ways, the list of wide-ranging benefits resembles Amazon (NASDAQ: AMZN) Prime -- though a Costco membership is cheaper -- and that model may explain why both companies continue to take market share from other retailers. Costco doesn't make any money from the Auto Program. Rather, it uses the service to attract members and retain existing ones, much like Amazon does with add-on Prime perks like video streaming. Amazon CEO Jeff Bezos once explained that model, saying, ""When we win a Golden Globe, it helps us sell more shoes."" If a new member joins Costco to get a deal on a new car, they're likely to start shopping at the warehouse club, adding to Costco's business. The popularity of Costco's Auto Program is self-evident, as sales have more than tripled in the last decade from just 200,000 vehicles sold in 2008, and the company is investing in it to keep up its strong growth, hiring more than 300 employees. The auto program is unique among retailers, and one of many examples of why Costco is beloved by members, as it almost always ranks near the top in customer satisfaction surveys.  The program also shows why Costco's business model is so hard to disrupt. Its membership base gives it a defense against competitors that most retailers don't have, and its renewal rates range around 90% because of perks like the auto program. If you save $1,000 on a new vehicle with Costco, you only need to buy one once a decade to make a membership worth it. With deals like that, it's clear that Costco won't be threatened by the ""retail apocalypse"" anytime soon. In fact, disrupting the auto market just looks like the latest step in making the company nearly invincible.  10 stocks we like better than Costco Wholesale
When investing geniuses David and Tom Gardner have a stock tip, it can pay to listen. After all, the newsletter they have run for over a decade, Motley Fool Stock Advisor , has quadrupled the market.* David and Tom just revealed what they believe are the ten best stocks for investors to buy right now... and Costco Wholesale wasn't one of them! That's right -- they think these 10 stocks are even better buys. See the 10 stocks *Stock Advisor returns as of March 1, 2019 John Mackey, CEO of Whole Foods Market, an Amazon subsidiary, is a member of The Motley Fool's board of directors. Jeremy Bowman owns shares of Amazon, Ford, and General Motors. The Motley Fool owns shares of and recommends Amazon and Costco Wholesale. The Motley Fool recommends Ford. The Motley Fool has a disclosure policy .",-29.109999999999673,0
